metric,method_A,method_B,n_common,wilcoxon_n_eff,wilcoxon_W,wilcoxon_p_raw,wilcoxon_mode,wilcoxon_p_holm,sign_n,sign_pos,sign_p_raw,sign_p_holm,HL_estimate(A-B),median_diff(A-B)
f1_dice,60%,FREEHAND,81,81,0.0,5.4638189733703355e-15,approx(pratt),2.458718538016651e-13,81,81,8.271806125530277e-25,3.7223127564886245e-23,0.4678726873848825,0.4678726873848825
f1_dice,60%,ILASTIK,81,81,1046.0,0.0038415916724544746,approx(pratt),0.04225750839699922,81,47,0.18207674694084314,1.0,0.04372181272669795,0.04372181272669795
f1_dice,60%,OTSU,81,81,1.0,5.671876047777079e-15,approx(pratt),2.3254691795886025e-13,81,80,6.782881022934827e-23,2.780981219403279e-21,0.6628571428571428,0.6628571428571428
f1_dice,60%,OVAL,81,81,15.0,9.54898185386052e-15,approx(pratt),3.2466538303125765e-13,81,80,6.782881022934827e-23,2.7131524091739308e-21,0.526286769445585,0.526286769445585
f1_dice,60%,PLANKSTER,81,80,1393.0,0.20956575645204056,approx(pratt),0.6286972693561217,80,42,0.7375543089843226,0.7375543089843226,0.018269083365494265,0.018269083365494265
f1_dice,60%,PORED2,81,76,66.0,7.969259704530921e-14,approx(pratt),1.832929732042112e-12,76,72,3.589836803538052e-17,8.615608328491325e-16,0.09120477928974446,0.09120477928974446
f1_dice,60%,SAMJ,81,81,16.0,9.909352204393326e-15,approx(pratt),3.270086227449798e-13,81,77,1.4495364161868997e-18,4.058701965323319e-17,0.5997064374082617,0.5997064374082617
f1_dice,60%,SEMI,81,77,828.0,9.857529314372747e-05,approx(pratt),0.001478629397155912,77,23,0.0005387801699960486,0.008620482719936777,-0.01083871144169768,-0.01083871144169768
f1_dice,60%,UNET,81,80,1196.0,0.029087816972372848,approx(pratt),0.14543908486186424,80,46,0.21851803947870374,0.874072157914815,0.018879300769313878,0.018879300769313878
f1_dice,FREEHAND,ILASTIK,81,78,109.0,3.1295565440732375e-13,approx(pratt),6.885024396961123e-12,78,8,1.7449045276511964e-13,3.838789960832632e-12,-0.4180790960451977,-0.4180790960451977
f1_dice,FREEHAND,OTSU,81,65,348.0,4.064820875640619e-09,approx(pratt),6.910195488589053e-08,65,52,1.1688116132369708e-06,1.9869797425028505e-05,0.11224449524861942,0.11224449524861942
f1_dice,FREEHAND,OVAL,81,59,971.0,0.007434991787472007,approx(pratt),0.07434991787472008,59,39,0.018337087779101986,0.22004505334922383,0.0,0.0
f1_dice,FREEHAND,PLANKSTER,81,81,0.0,5.4638189733703355e-15,approx(pratt),2.404080348282948e-13,81,0,8.271806125530277e-25,3.639594695233322e-23,-0.45530448180738486,-0.45530448180738486
f1_dice,FREEHAND,PORED2,81,81,64.0,5.716526713448608e-14,approx(pratt),1.371966411227666e-12,81,4,1.4495364161868997e-18,3.913748323704629e-17,-0.35221632839753964,-0.35221632839753964
f1_dice,FREEHAND,SAMJ,81,61,999.0,0.008318172272381625,approx(pratt),0.07486355045143463,61,43,0.001868101030975251,0.028021515464628766,0.012135922330097087,0.012135922330097087
f1_dice,FREEHAND,SEMI,81,81,0.0,5.4638189733703355e-15,approx(pratt),2.349442158549244e-13,81,0,8.271806125530277e-25,3.556876633978019e-23,-0.4562797062275421,-0.4562797062275421
f1_dice,FREEHAND,UNET,81,81,0.0,5.4638189733703355e-15,approx(pratt),2.294803968815541e-13,81,0,8.271806125530277e-25,3.474158572722716e-23,-0.48050036791758644,-0.48050036791758644
f1_dice,ILASTIK,OTSU,81,78,10.0,8.845506525311545e-15,approx(pratt),3.1843823491121564e-13,78,76,2.039496518310745e-20,6.526388858594384e-19,0.5622583933715115,0.5622583933715115
f1_dice,ILASTIK,OVAL,81,79,176.0,2.949208433241308e-12,approx(pratt),5.898416866482615e-11,79,70,7.778844062771146e-13,1.5557688125542293e-11,0.46540749001022214,0.46540749001022214
f1_dice,ILASTIK,PLANKSTER,81,81,986.0,0.001506744179856798,approx(pratt),0.019587674338138374,81,34,0.18207674694084314,0.9103837347042156,-0.04374703757206,-0.04374703757206
f1_dice,ILASTIK,PORED2,81,81,1176.0,0.022678478261711685,approx(pratt),0.13607086957027012,81,49,0.07478815428283364,0.5983052342626691,0.06325399572077506,0.06325399572077506
f1_dice,ILASTIK,SAMJ,81,77,31.0,2.0590759250616733e-14,approx(pratt),5.35359740516035e-13,77,74,1.0078897978938123e-18,2.922880413892056e-17,0.44111068213164545,0.44111068213164545
f1_dice,ILASTIK,SEMI,81,81,934.0,0.0006303397132979002,approx(pratt),0.008824755986170602,81,32,0.07478815428283364,0.5235170799798354,-0.08036111211472396,-0.08036111211472396
f1_dice,ILASTIK,UNET,81,81,1117.0,0.01057017078392709,approx(pratt),0.07399119548748963,81,38,0.6569924675863577,1.0,-0.02724410720051662,-0.02724410720051662
f1_dice,OTSU,OVAL,81,67,725.0,3.0891351875039055e-05,approx(pratt),0.0004942616300006249,67,25,0.04980011429472864,0.44820102865255773,-0.016313291233239664,-0.016313291233239664
f1_dice,OTSU,PLANKSTER,81,81,4.0,6.343969994071324e-15,approx(pratt),2.34726889780639e-13,81,1,6.782881022934827e-23,2.6453235989445825e-21,-0.6253376922832083,-0.6253376922832083
f1_dice,OTSU,PORED2,81,81,3.0,6.111659358365917e-15,approx(pratt),2.3224305561790484e-13,81,1,6.782881022934827e-23,2.5774947887152342e-21,-0.5076678650832052,-0.5076678650832052
f1_dice,OTSU,SAMJ,81,67,1571.0,0.8631720848911287,approx(pratt),0.8631720848911287,67,44,0.013933875024287785,0.195074250340029,0.004182350480970306,0.004182350480970306
f1_dice,OTSU,SEMI,81,81,1.0,5.671876047777079e-15,approx(pratt),2.2687504191108317e-13,81,1,6.782881022934827e-23,2.509665978485886e-21,-0.6656862545405167,-0.6656862545405167
f1_dice,OTSU,UNET,81,81,2.0,5.887727172875296e-15,approx(pratt),2.2962135974213653e-13,81,1,6.782881022934827e-23,2.4418371682565377e-21,-0.6174734759221501,-0.6174734759221501
f1_dice,OVAL,PLANKSTER,81,81,34.0,1.923143672965577e-14,approx(pratt),5.192487917007057e-13,81,1,6.782881022934827e-23,2.3740083580271894e-21,-0.5508543644050521,-0.5508543644050521
f1_dice,OVAL,PORED2,81,81,137.0,7.460865534375013e-13,approx(pratt),1.5667817622187527e-11,81,7,3.167382755726581e-15,7.284980338171136e-14,-0.4217687074829932,-0.4217687074829932
f1_dice,OVAL,SAMJ,81,58,1156.0,0.08111430915655679,approx(pratt),0.32445723662622716,58,38,0.024746035842440804,0.27220639426684884,0.0,0.0
f1_dice,OVAL,SEMI,81,81,18.0,1.067070749882741e-14,approx(pratt),3.414626399624771e-13,81,1,6.782881022934827e-23,2.306179547797841e-21,-0.5446318387494858,-0.5446318387494858
f1_dice,OVAL,UNET,81,81,23.0,1.2835038778268792e-14,approx(pratt),3.8505116334806377e-13,81,1,6.782881022934827e-23,2.238350737568493e-21,-0.5224489795918368,-0.5224489795918368
f1_dice,PLANKSTER,PORED2,81,80,238.0,2.1888024542404475e-11,approx(pratt),4.1587246630568506e-10,80,70,3.161290522649495e-12,6.00645199303404e-11,0.11571259994220207,0.11571259994220207
f1_dice,PLANKSTER,SAMJ,81,81,18.0,1.067070749882741e-14,approx(pratt),3.307919324636497e-13,81,77,1.4495364161868997e-18,3.7687946820859393e-17,0.5892514395393474,0.5892514395393474
f1_dice,PLANKSTER,SEMI,81,80,1109.0,0.009544309366667801,approx(pratt),0.07635447493334241,80,30,0.03299261842647619,0.3299261842647619,-0.03066134597202952,-0.03066134597202952
f1_dice,PLANKSTER,UNET,81,80,1416.0,0.25160088938618996,approx(pratt),0.5032017787723799,80,45,0.31430657986393706,0.9429197395918112,0.008562094439773293,0.008562094439773293
f1_dice,PORED2,SAMJ,81,81,53.0,3.8427742256209277e-14,approx(pratt),9.60693556405232e-13,81,72,2.4557438833479224e-13,5.157062155030637e-12,0.433240611961057,0.433240611961057
f1_dice,PORED2,SEMI,81,77,27.0,1.7783229601905326e-14,approx(pratt),4.979304288533491e-13,77,2,3.975760896174872e-20,1.2324858778142104e-18,-0.12115604682690029,-0.12115604682690029
f1_dice,PORED2,UNET,81,80,307.0,1.9154908814978216e-10,approx(pratt),3.447883586696079e-09,80,15,1.411466840981396e-08,2.540640313766513e-07,-0.10443815230323072,-0.10443815230323072
f1_dice,SAMJ,SEMI,81,81,13.0,8.866500267367073e-15,approx(pratt),3.1032750935784754e-13,81,3,7.332294385792548e-20,2.1996883157377644e-18,-0.6390547058219889,-0.6390547058219889
f1_dice,SAMJ,UNET,81,81,27.0,1.487269680848082e-14,approx(pratt),4.313082074459438e-13,81,4,1.4495364161868997e-18,3.6238410404672494e-17,-0.5835232823184631,-0.5835232823184631
f1_dice,SEMI,UNET,81,80,992.0,0.00167347945786458,approx(pratt),0.020081753494374962,80,51,0.01831609751691632,0.23810926771991214,0.04094380145286436,0.04094380145286436
iou_jaccard,60%,FREEHAND,81,81,0.0,5.4638189733703355e-15,approx(pratt),2.458718538016651e-13,81,81,8.271806125530277e-25,3.7223127564886245e-23,0.38703787825843877,0.38703787825843877
iou_jaccard,60%,ILASTIK,81,81,1071.0,0.005551116643331162,approx(pratt),0.055511166433311616,81,47,0.18207674694084314,1.0,0.04759531637677239,0.04759531637677239
iou_jaccard,60%,OTSU,81,81,3.0,6.111659358365917e-15,approx(pratt),2.444663743346367e-13,81,80,6.782881022934827e-23,2.780981219403279e-21,0.5154546935600846,0.5154546935600846
iou_jaccard,60%,OVAL,81,81,14.0,9.201516100676866e-15,approx(pratt),3.220530635236903e-13,81,80,6.782881022934827e-23,2.7131524091739308e-21,0.4097419282862218,0.4097419282862218
iou_jaccard,60%,PLANKSTER,81,80,1325.0,0.11527389827147683,approx(pratt),0.3458216948144305,80,42,0.7375543089843226,0.7375543089843226,0.020691127850552604,0.020691127850552604
iou_jaccard,60%,PORED2,81,76,51.0,4.6473289772750767e-14,approx(pratt),1.1153589545460184e-12,76,72,3.589836803538052e-17,8.615608328491325e-16,0.1089826275368152,0.1089826275368152
iou_jaccard,60%,SAMJ,81,81,14.0,9.201516100676866e-15,approx(pratt),3.1285154742301343e-13,81,77,1.4495364161868997e-18,4.058701965323319e-17,0.44181329117485646,0.44181329117485646
iou_jaccard,60%,SEMI,81,77,856.0,0.00016840550121214533,approx(pratt),0.0025260825181821797,77,23,0.0005387801699960486,0.008620482719936777,-0.01081593927893737,-0.01081593927893737
iou_jaccard,60%,UNET,81,80,1181.0,0.02426427270528782,approx(pratt),0.14558563623172693,80,46,0.21851803947870374,0.874072157914815,0.017225150602409645,0.017225150602409645
iou_jaccard,FREEHAND,ILASTIK,81,78,101.0,2.3647105967095876e-13,approx(pratt),5.2023633127610926e-12,78,8,1.7449045276511964e-13,3.838789960832632e-12,-0.3404949987176199,-0.3404949987176199
iou_jaccard,FREEHAND,OTSU,81,65,347.0,3.950287605109136e-09,approx(pratt),6.715488928685532e-08,65,52,1.1688116132369708e-06,1.9869797425028505e-05,0.0649380560432703,0.0649380560432703
iou_jaccard,FREEHAND,OVAL,81,59,1012.0,0.013079269626488846,approx(pratt),0.10463415701191077,59,39,0.018337087779101986,0.22004505334922383,0.0,0.0
iou_jaccard,FREEHAND,PLANKSTER,81,81,0.0,5.4638189733703355e-15,approx(pratt),2.404080348282948e-13,81,0,8.271806125530277e-25,3.639594695233322e-23,-0.3881278538812785,-0.3881278538812785
iou_jaccard,FREEHAND,PORED2,81,81,57.0,4.441198471902746e-14,approx(pratt),1.1102996179756865e-12,81,4,1.4495364161868997e-18,3.913748323704629e-17,-0.2672413793103448,-0.2672413793103448
iou_jaccard,FREEHAND,SAMJ,81,61,1034.0,0.013407472062578902,approx(pratt),0.09385230443805231,61,43,0.001868101030975251,0.028021515464628766,0.006105006105006105,0.006105006105006105
iou_jaccard,FREEHAND,SEMI,81,81,0.0,5.4638189733703355e-15,approx(pratt),2.349442158549244e-13,81,0,8.271806125530277e-25,3.556876633978019e-23,-0.390625,-0.390625
iou_jaccard,FREEHAND,UNET,81,81,0.0,5.4638189733703355e-15,approx(pratt),2.294803968815541e-13,81,0,8.271806125530277e-25,3.474158572722716e-23,-0.3982155903440212,-0.3982155903440212
iou_jaccard,ILASTIK,OTSU,81,78,10.0,8.845506525311545e-15,approx(pratt),3.1843823491121564e-13,78,76,2.039496518310745e-20,6.526388858594384e-19,0.418894696843315,0.418894696843315
iou_jaccard,ILASTIK,OVAL,81,79,171.0,2.4935164787739554e-12,approx(pratt),4.987032957547911e-11,79,70,7.778844062771146e-13,1.5557688125542293e-11,0.36042296823911824,0.36042296823911824
iou_jaccard,ILASTIK,PLANKSTER,81,81,1030.0,0.0030148759830330584,approx(pratt),0.0361785117963967,81,34,0.18207674694084314,0.9103837347042156,-0.056191843300144484,-0.056191843300144484
iou_jaccard,ILASTIK,PORED2,81,81,1093.0,0.007594186435635452,approx(pratt),0.06834767792071907,81,49,0.07478815428283364,0.5983052342626691,0.056328647343957705,0.056328647343957705
iou_jaccard,ILASTIK,SAMJ,81,77,41.0,2.965945420349396e-14,approx(pratt),7.71145809290843e-13,77,74,1.0078897978938123e-18,2.922880413892056e-17,0.33231918606896343,0.33231918606896343
iou_jaccard,ILASTIK,SEMI,81,81,953.0,0.000872337456107607,approx(pratt),0.012212724385506498,81,32,0.07478815428283364,0.5235170799798354,-0.0738319827324232,-0.0738319827324232
iou_jaccard,ILASTIK,UNET,81,81,1203.0,0.03142221497757141,approx(pratt),0.15711107488785706,81,38,0.6569924675863577,1.0,-0.02671944581890151,-0.02671944581890151
iou_jaccard,OTSU,OVAL,81,67,724.0,3.0258046771592012e-05,approx(pratt),0.0004841287483454722,67,25,0.04980011429472864,0.44820102865255773,-0.008232216867650476,-0.008232216867650476
iou_jaccard,OTSU,PLANKSTER,81,81,5.0,6.584967218280533e-15,approx(pratt),2.4364378707637975e-13,81,1,6.782881022934827e-23,2.6453235989445825e-21,-0.4889924248619604,-0.4889924248619604
iou_jaccard,OTSU,PORED2,81,81,4.0,6.343969994071324e-15,approx(pratt),2.4107085977471034e-13,81,1,6.782881022934827e-23,2.5774947887152342e-21,-0.3551845720142123,-0.3551845720142123
iou_jaccard,OTSU,SAMJ,81,67,1572.0,0.8668853258352524,approx(pratt),0.8668853258352524,67,44,0.013933875024287785,0.195074250340029,0.0020955574182732607,0.0020955574182732607
iou_jaccard,OTSU,SEMI,81,81,2.0,5.887727172875296e-15,approx(pratt),2.413968140878871e-13,81,1,6.782881022934827e-23,2.509665978485886e-21,-0.5205529954367396,-0.5205529954367396
iou_jaccard,OTSU,UNET,81,81,3.0,6.111659358365917e-15,approx(pratt),2.3835471497627077e-13,81,1,6.782881022934827e-23,2.4418371682565377e-21,-0.4674569054335236,-0.4674569054335236
iou_jaccard,OVAL,PLANKSTER,81,81,31.0,1.7227830839455533e-14,approx(pratt),4.823792635047549e-13,81,1,6.782881022934827e-23,2.3740083580271894e-21,-0.4159929308842998,-0.4159929308842998
iou_jaccard,OVAL,PORED2,81,81,142.0,8.858469694315331e-13,approx(pratt),1.8602786358062193e-11,81,7,3.167382755726581e-15,7.284980338171136e-14,-0.28783387965775453,-0.28783387965775453
iou_jaccard,OVAL,SAMJ,81,58,1173.0,0.09626450934000348,approx(pratt),0.3850580373600139,58,38,0.024746035842440804,0.27220639426684884,0.0,0.0
iou_jaccard,OVAL,SEMI,81,81,14.0,9.201516100676866e-15,approx(pratt),3.036500313223366e-13,81,1,6.782881022934827e-23,2.306179547797841e-21,-0.424309204390322,-0.424309204390322
iou_jaccard,OVAL,UNET,81,81,22.0,1.2370160978173108e-14,approx(pratt),3.8347499032336633e-13,81,1,6.782881022934827e-23,2.238350737568493e-21,-0.4047720494247976,-0.4047720494247976
iou_jaccard,PLANKSTER,PORED2,81,80,227.0,1.5341604348626828e-11,approx(pratt),2.914904826239097e-10,80,70,3.161290522649495e-12,6.00645199303404e-11,0.12581262338426868,0.12581262338426868
iou_jaccard,PLANKSTER,SAMJ,81,81,24.0,1.3317096267194204e-14,approx(pratt),3.995128880158261e-13,81,77,1.4495364161868997e-18,3.7687946820859393e-17,0.4270833333333333,0.4270833333333333
iou_jaccard,PLANKSTER,SEMI,81,80,1053.0,0.0042958245429408955,approx(pratt),0.04725406997234985,80,30,0.03299261842647619,0.3299261842647619,-0.03591853931412503,-0.03591853931412503
iou_jaccard,PLANKSTER,UNET,81,80,1413.0,0.245806841077434,approx(pratt),0.491613682154868,80,45,0.31430657986393706,0.9429197395918112,0.009275483242942584,0.009275483242942584
iou_jaccard,PORED2,SAMJ,81,81,94.0,1.6662006038726004e-13,approx(pratt),3.832261388906981e-12,81,72,2.4557438833479224e-13,5.157062155030637e-12,0.2770843734398402,0.2770843734398402
iou_jaccard,PORED2,SEMI,81,77,25.0,1.652429329578942e-14,approx(pratt),4.792045055778931e-13,77,2,3.975760896174872e-20,1.2324858778142104e-18,-0.14292523751020536,-0.14292523751020536
iou_jaccard,PORED2,UNET,81,80,326.0,3.418325325834137e-10,approx(pratt),6.1529855865014465e-09,80,15,1.411466840981396e-08,2.540640313766513e-07,-0.11064919098542553,-0.11064919098542553
iou_jaccard,SAMJ,SEMI,81,81,14.0,9.201516100676866e-15,approx(pratt),2.944485152216597e-13,81,3,7.332294385792548e-20,2.1996883157377644e-18,-0.47214244686961515,-0.47214244686961515
iou_jaccard,SAMJ,UNET,81,81,42.0,2.576386802093205e-14,approx(pratt),6.956244365651653e-13,81,4,1.4495364161868997e-18,3.6238410404672494e-17,-0.41642055522740695,-0.41642055522740695
iou_jaccard,SEMI,UNET,81,80,962.0,0.001023321542859283,approx(pratt),0.013303180057170677,80,51,0.01831609751691632,0.23810926771991214,0.04534500999177149,0.04534500999177149
mcc,60%,FREEHAND,81,76,7.0,9.286909095864192e-15,approx(pratt),3.1575490925938253e-13,76,75,2.0381730293306602e-21,6.725970996791179e-20,0.49537151249203026,0.49537151249203026
mcc,60%,ILASTIK,81,81,1542.0,0.5784999427602561,approx(pratt),1.0,81,41,1.0,1.0,0.002065632709813525,0.002065632709813525
mcc,60%,OTSU,81,80,3.0,6.225682172924233e-15,approx(pratt),2.67704333435742e-13,80,79,1.3400325923359048e-22,5.762140147044391e-21,0.8641923955268098,0.8641923955268098
mcc,60%,OVAL,81,78,66.0,6.826449798080312e-14,approx(pratt),1.7066124495200779e-12,78,75,5.238237034277805e-19,1.3619416289122293e-17,0.4977941958575539,0.4977941958575539
mcc,60%,PLANKSTER,81,80,1582.0,0.7151914322551536,approx(pratt),1.0,80,43,0.5764306261883931,1.0,0.010970362028018266,0.010970362028018266
mcc,60%,PORED2,81,76,43.0,3.4787015368460265e-14,approx(pratt),1.0088234456853477e-12,76,72,3.589836803538052e-17,8.615608328491325e-16,0.287874396106346,0.287874396106346
mcc,60%,SAMJ,81,77,63.0,6.569118157870719e-14,approx(pratt),1.707970721046387e-12,77,71,3.418320890290292e-15,6.152977602522525e-14,0.38517952417730805,0.38517952417730805
mcc,60%,SEMI,81,77,822.0,8.76988696532294e-05,approx(pratt),0.0012277841751452115,77,21,8.215921903007378e-05,0.001150229066421033,-0.02701415400324393,-0.02701415400324393
mcc,60%,UNET,81,80,1362.0,0.16129856558631284,approx(pratt),1.0,80,46,0.21851803947870374,1.0,0.029480295505400267,0.029480295505400267
mcc,FREEHAND,ILASTIK,81,78,11.0,9.179755132210608e-15,approx(pratt),3.212914296273713e-13,78,2,2.039496518310745e-20,5.914539903101161e-19,-0.49404569193547726,-0.49404569193547726
mcc,FREEHAND,OTSU,81,80,21.0,1.2141940284987362e-14,approx(pratt),3.764001488346082e-13,80,79,1.3400325923359048e-22,5.6281368878108e-21,0.33862283541188043,0.33862283541188043
mcc,FREEHAND,OVAL,81,61,1480.0,0.7218680408061726,approx(pratt),1.0,61,32,0.7981526273057179,1.0,0.0,0.0
mcc,FREEHAND,PLANKSTER,81,80,14.0,9.37208058055161e-15,approx(pratt),3.0927865915820316e-13,80,1,1.3400325923359048e-22,5.49413362857721e-21,-0.4913395532117078,-0.4913395532117078
mcc,FREEHAND,PORED2,81,73,454.0,2.1859312107953427e-08,approx(pratt),3.4974899372725483e-07,73,15,4.0931991166650604e-07,6.139798674997591e-06,-0.1785514935841684,-0.1785514935841684
mcc,FREEHAND,SAMJ,81,63,896.0,0.0013117205361284894,approx(pratt),0.015740646433541873,63,20,0.005152397042092064,0.061828764505104765,-0.012706193165893415,-0.012706193165893415
mcc,FREEHAND,SEMI,81,77,6.0,8.190263470941565e-15,approx(pratt),2.9484948495389633e-13,77,1,1.0323214044661785e-21,3.613124915631625e-20,-0.5012331852076904,-0.5012331852076904
mcc,FREEHAND,UNET,81,80,5.0,6.707676617235387e-15,approx(pratt),2.683070646894155e-13,80,2,5.3617847305687254e-21,1.7157711137819921e-19,-0.4557710208438957,-0.4557710208438957
mcc,ILASTIK,OTSU,81,81,1.0,5.671876047777079e-15,approx(pratt),2.4956254610219147e-13,81,80,6.782881022934827e-23,2.984467650091324e-21,0.8291439865042466,0.8291439865042466
mcc,ILASTIK,OVAL,81,79,83.0,1.1890242669438554e-13,approx(pratt),2.615853387276482e-12,79,75,5.2434681244715905e-18,1.3108670311178976e-16,0.4892487260613121,0.4892487260613121
mcc,ILASTIK,PLANKSTER,81,81,1634.0,0.9025701153486566,approx(pratt),0.9025701153486566,81,46,0.2664123096713203,1.0,0.01930600686700762,0.01930600686700762
mcc,ILASTIK,PORED2,81,81,168.0,2.1444159857210366e-12,approx(pratt),3.8599487742978656e-11,81,75,2.91096598559025e-16,5.8219319711805e-15,0.2581988897471611,0.2581988897471611
mcc,ILASTIK,SAMJ,81,77,12.0,1.0231238339016198e-14,approx(pratt),3.2739962684851833e-13,77,76,1.0323214044661785e-21,3.509892775185007e-20,0.38447140804972385,0.38447140804972385
mcc,ILASTIK,SEMI,81,81,1580.0,0.7064244437699296,approx(pratt),1.0,81,39,0.8243132151052083,1.0,-0.021717791711364953,-0.021717791711364953
mcc,ILASTIK,UNET,81,81,1383.0,0.19216749199185645,approx(pratt),1.0,81,48,0.1192736683117644,0.9541893464941152,0.06469660121227033,0.06469660121227033
mcc,OTSU,OVAL,81,80,0.0,5.565934185386101e-15,approx(pratt),2.5046703834237455e-13,80,0,1.6543612251060553e-24,7.444625512977249e-23,-0.3099996972696574,-0.3099996972696574
mcc,OTSU,PLANKSTER,81,80,10.0,8.079213795553208e-15,approx(pratt),2.989309104354687e-13,80,1,1.3400325923359048e-22,5.360130369343619e-21,-0.8351793196404721,-0.8351793196404721
mcc,OTSU,PORED2,81,80,9.0,7.784463170661418e-15,approx(pratt),2.9580960048513386e-13,80,1,1.3400325923359048e-22,5.226127110110029e-21,-0.546055224897105,-0.546055224897105
mcc,OTSU,SAMJ,81,80,8.0,7.500302054575282e-15,approx(pratt),2.92511780128436e-13,80,1,1.3400325923359048e-22,5.092123850876438e-21,-0.3681224529228976,-0.3681224529228976
mcc,OTSU,SEMI,81,80,3.0,6.225682172924233e-15,approx(pratt),2.6147865126281777e-13,80,1,1.3400325923359048e-22,4.958120591642848e-21,-0.889261255270777,-0.889261255270777
